オーストラリア2-0イラク
日本1-2アラブ首長国連邦（UAE）
サウジアラビア1-0タイ
イラク1-2サウジアラビア
タイ0-2日本
アラブ首長国連邦（UAE）0-1オーストラリア
サウジアラビア2-2オーストラリア
アラブ首長国連邦（UAE）3-1タイ
日本2-1イラク
イラク4-0タイ
サウジアラビア3-0アラブ首長国連邦（UAE）
オーストラリア1-1日本
アラブ首長国連邦（UAE）2-0イラク
タイ2-2オーストラリア
日本2-1サウジアラビア
イラク1-1オーストラリア
アラブ首長国連邦（UAE）0-2日本
タイ0-3サウジアラビア
サウジアラビア1-0イラク
日本4-0タイ
オーストラリア2-0アラブ首長国連邦（UAE）
オーストラリア3-2サウジアラビア
タイ1-1アラブ首長国連邦（UAE）
イラク1-1日本
タイ1-2イラク
アラブ首長国連邦（UAE）2-1サウジアラビア
日本2-0オーストラリア
イラク1-0アラブ首長国連邦（UAE）
オーストラリア2-1タイ
サウジアラビア1-0日本
